,region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
46,BajaCaliforniaSur_MX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,7.0,12.0,16.0,15.0,18.0,17.0,12.0,11.0,9.0
47,BajaCalifornia_MX,7.0,11.0,9.0,0.0,0.0,7.0,0.0,0.0,10.0,10.0,9.0,13.0,15.0,14.0,17.0,22.0,17.0,16.0,19.0,18.0,22.0,25.0,29.0,43.0,63.0,90.0,117.0,126.0,137.0,131.0,104.0
48,Balzers_LI,11.0,13.0,15.0,20.0,23.0,36.0,60.0,67.0,63.0,66.0,56.0,36.0,45.0,64.0,88.0,99.0,119.0,106.0,88.0,79.0,85.0,90.0,108.0,114.0,99.0,86.0,57.0,40.0,33.0,25.0,19.0
49,Banskobystrický_SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,13.0,12.0,7.0,8.0,9.0,8.0,10.0,13.0,12.0,17.0,18.0,18.0,15.0,20.0,14.0,12.0,11.0,14.0
50,Baranya_HU,0.0,0.0,0.0,7.0,18.0,17.0,16.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,7.0,15.0,14.0,18.0,21.0,16.0,11.0,12.0
51,Basel-Landschaft_CH,189.0,191.0,198.0,210.0,207.0,193.0,212.0,212.0,213.0,207.0,231.0,245.0,257.0,300.0,409.0,531.0,643.0,783.0,907.0,968.0,1007.0,1018.0,1134.0,1208.0,1284.0,1409.0,1520.0,1555.0,1560.0,1461.0,1293.0
52,Bashkortostan_RU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,13.0,19.0,19.0,24.0,29.0,34.0,40.0,44.0,36.0,26.0,29.0,35.0,50.0,53.0,63.0,88.0,91.0,109.0,114.0,120.0
53,Basilicata_IT,0.0,0.0,0.0,6.0,10.0,10.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,9.0,0.0,9.0,9.0,11.0,13.0,16.0,16.0,24.0,28.0,22.0,23.0
54,Bayern_DE,7811.0,8517.0,8999.0,9715.0,10673.0,10993.0,11367.0,11166.0,11201.0,11399.0,11920.0,12642.0,14480.0,17490.0,22846.0,28452.0,35412.0,41396.0,45907.0,46745.0,49814.0,54526.0,60448.0,65496.0,72346.0,74103.0,73893.0,75087.0,78231.0,72349.0,67126.0
55,BayofPlenty_NZ,16.0,14.0,14.0,11.0,19.0,17.0,17.0,20.0,20.0,12.0,17.0,26.0,22.0,22.0,22.0,22.0,18.0,24.0,27.0,36.0,35.0,54.0,61.0,79.0,83.0,98.0,87.0,91.0,85.0,83.0,65.0
56,Beijing_CN,24.0,90.0,133.0,158.0,172.0,232.0,256.0,324.0,483.0,673.0,818.0,919.0,1003.0,1105.0,1208.0,1365.0,1767.0,2294.0,3160.0,3964.0,4983.0,6432.0,8642.0,11636.0,15735.0,20448.0,26435.0,33236.0,39195.0,42531.0,44181.0
57,Belgorod_RU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,11.0,14.0,16.0,9.0
58,Berlin_DE,641.0,687.0,715.0,803.0,871.0,931.0,1025.0,1023.0,1050.0,1213.0,1405.0,1529.0,1770.0,2164.0,2791.0,3444.0,4228.0,5040.0,5634.0,5782.0,5723.0,5721.0,5922.0,6160.0,6368.0,6544.0,6693.0,6528.0,6409.0,5776.0,5094.0
59,Bern_CH,834.0,861.0,869.0,871.0,884.0,899.0,848.0,769.0,732.0,679.0,654.0,682.0,745.0,838.0,995.0,1202.0,1389.0,1453.0,1571.0,1561.0,1518.0,1557.0,1643.0,1647.0,1637.0,1621.0,1640.0,1742.0,1760.0,1783.0,1738.0
60,Bihar_IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,17.0,26.0,34.0,38.0,43.0,32.0,24.0
61,Bihor_RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,10.0,10.0,11.0,5.0
62,Bilecik_TR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,17.0,17.0,0.0,0.0,0.0
63,Bjelovarska-Bilogorska_HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
64,Blekinge_SE,45.0,53.0,45.0,50.0,62.0,78.0,76.0,77.0,82.0,68.0,61.0,72.0,68.0,51.0,49.0,42.0,34.0,32.0,39.0,42.0,39.0,51.0,66.0,69.0,70.0,75.0,71.0,78.0,70.0,70.0,83.0
65,Borsod-Abaúj-Zemplén_HU,11.0,10.0,17.0,18.0,13.0,15.0,15.0,8.0,7.0,10.0,0.0,0.0,0.0,15.0,16.0,21.0,24.0,32.0,30.0,29.0,27.0,19.0,13.0,9.0,5.0,0.0,5.0,5.0,7.0,9.0,10.0
66,Bourgogne-Franche-Comté_FR,320.0,357.0,359.0,374.0,395.0,423.0,426.0,400.0,374.0,406.0,377.0,393.0,449.0,754.0,1007.0,1307.0,1591.0,1819.0,1856.0,1878.0,1690.0,1522.0,1406.0,1185.0,1047.0,1115.0,1198.0,1241.0,1292.0,1139.0,975.0
67,Braga_PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,7.0,12.0,18.0,28.0,28.0,24.0,26.0,24.0,32.0,49.0,66.0
