,region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
20,Antalya_TR,12286.274784144924,12549.336282615292,13059.417536407767,13614.670822271946,13928.453795320087,14047.503879070591,13980.327052361448,13650.024427968243,13246.746241656554,12983.104961190333,13253.712642849921,13776.024934895835,14576.669810629046,15375.69074067051,16058.856779050368,16325.911927336167,16630.284277027713,16999.64530238673,17267.221993830906,17637.530500353965,18260.477266004244
21,Antofagasta_CL,20576.784230000776,21859.194331754832,23927.280803363596,26574.10941731165,29842.880447897267,32410.067230902776,34506.80525258477,36215.86451919906,38019.19829104593,39955.35481073721,43175.91721665745,47522.71249357444,51813.95793052403,56044.067526478124,59710.12078841509,61911.89632058407,63487.932907004084,64962.62706702699,66335.49432514743,67796.39443207829,69809.92616338843
22,Aomori_JP,21478.2703125,22144.341015625,22823.737890625,23376.448828125,23866.61484375,24144.894921875,24318.95,24398.45,24344.853125,24358.661328125,24424.24765625,24474.209375,25093.80390625,25827.19921875,26564.045703125,27114.16875,27939.451953125,28179.03359375,28492.021875,28847.78515625,29300.113671875
23,AppenzellAusserrhoden_CH,36934.7671875,36307.7703125,36068.440625,36352.1546875,37174.1625,38632.7671875,40927.85703125,42947.60390625,44206.5703125,44340.9359375,44367.421875,43643.36328125,42725.46015625,41723.0265625,40907.93046875,39519.478125,38350.94921875,37541.2546875,37208.14375,37380.28046875,37876.60703125
24,AppenzellInnerrhoden_CH,36934.7671875,36307.7703125,36068.440625,36352.1546875,37174.1625,38632.7671875,40927.85703125,42947.60390625,44206.5703125,44340.9359375,44367.421875,43643.36328125,42725.46015625,41723.0265625,40907.93046875,39519.478125,38350.94921875,37541.2546875,37208.14375,37380.28046875,37876.60703125
25,Apulia_IT,22133.842349820527,22349.65414379223,22496.746805057017,22454.702316036743,22619.566556693415,22732.530477987755,22997.032852090375,23246.86399783573,23683.084906830663,24004.553069573478,24212.201497835726,24251.827552259292,24376.66102063978,24495.734268105996,24570.416247888515,24335.331469066725,24164.36414300042,23874.25570761191,23455.748651288006,22983.97816722973,22747.82434148015
26,Arad_RO,10184.0517578125,9998.5841796875,10219.8857421875,10874.1724609375,11349.732421875,12372.8611328125,12545.21171875,12784.298828125,12823.6962890625,13232.8779296875,13446.8181640625,14489.0330078125,15633.080859375,16995.8798828125,18134.9533203125,18593.96015625,18919.371484375,19008.81484375,18848.3171875,18835.8140625,19203.367578125
27,Aragón_ES,27202.13759871773,27421.90364724864,27597.928748089333,27974.902980638588,28456.398753821333,28977.009598972487,29837.996276324724,30803.26204462466,31722.321298615825,32659.110465140966,33461.722051205834,34110.897934358014,34703.61736582881,35386.554228940215,36012.19227029551,36360.75194463315,36617.86618546195,36585.64023862092,36126.1120647928,35532.95689325747,35310.555061141305
28,Araucanía_CL,5067.965082006474,5441.524190877709,5839.8146071452165,6194.775082584566,6495.577104254757,6728.750035511363,6930.390768077761,7046.449063903938,7046.457056851216,7007.254130467099,7026.83690952035,6992.605542456726,7012.5710309857295,7113.762349076705,7240.433359622753,7293.68781918935,7401.603522851149,7560.705857929769,7752.038415449921,7976.9106011743515,8263.25962296016
29,Argeș_RO,10643.7140625,10449.875390625,10679.821484375,10977.3984375,11146.3763671875,11008.125,10881.6185546875,10618.6955078125,10766.4123046875,11220.1904296875,12191.6,13306.11640625,14783.2453125,16074.3232421875,17747.2310546875,18855.8234375,19646.040234375,20143.559765625,20561.9265625,20548.286328125,20949.25625
